id,type,subject,topic,question,correctAnswer,explanation,difficulty,sourceYear,sourceLabel,tags,isActive
law-b-0001,binary,law,登録業務範囲,第3種旅行業者は、営業所のある市町村に隣接する市町村等の拠点区域内で実施する募集型企画旅行を催行することができる。,true,"第3種旅行業者は、拠点区域内（営業所所在市町村および隣接市町村等）であれば、募集型企画旅行を実施できます。",2,2022,,登録|第3種,true
law-b-0002,binary,law,営業保証金,旅行業者は、営業保証金を主たる営業所の最寄りの供託所に供託しなければならない。,true,"旅行業法第7条に定められた供託義務です。主たる営業所の最寄りの供託所に供託します。",1,,,供託|保証金,true
law-b-0003,binary,law,登録業務範囲,地域限定旅行業者は、自らの営業所の所在する市町村およびこれに隣接する市町村に限って、募集型企画旅行を実施することができる。,true,"地域限定旅行業者は、地域限定業務範囲内でのみ募集型企画旅行等を実施できます。",2,,,地域限定,true
law-b-0004,binary,law,旅程管理主任者,主任の国内旅程管理主任者は、国内の募集型企画旅行に同行し、旅行者に対して旅行サービスの確実な提供を確保しなければならない。,true,"主任の旅程管理主任者は、旅程管理業務を統括し、旅行サービスの確実な提供を確保する責務を負います。",2,,,旅程管理,true
law-b-0005,binary,law,旅行業務取扱管理者,旅行業務取扱管理者は、営業所ごとに1名以上選任しなければならない。,true,"旅行業法第11条の2により、営業所ごとに1名以上の選任が必要です。",1,,,取扱管理者,true
law-b-0006,binary,law,取引条件説明書面,旅行業者は、契約締結前に、旅行者に対して取引条件説明書面を交付しなければならないが、旅行者の同意があれば口頭で代えることができる。,false,"旅行業法第12条の4により、書面交付は省略できません。電磁的方法による提供は同意があれば可能です。",2,,,書面|説明,true
law-b-0007,binary,law,契約書面,旅行業者は、旅行契約の締結後、遅滞なく旅行者に契約書面を交付しなければならない。,true,"旅行業法第12条の5により、契約締結後は遅滞なく契約書面を交付する義務があります。",1,,,契約書面,true
law-b-0008,binary,law,営業保証金,"第1種旅行業者の営業保証金の額は7,000万円であり、第2種は1,100万円である。",true,"登録種別ごとに基準額が決められています。第1種:7,000万円、第2種:1,100万円、第3種:300万円、地域限定:15万円。",2,,,保証金,true
law-b-0009,binary,law,変更登録,登録業務範囲を拡大するために変更登録を行う場合、変更登録手数料が必要である。,true,"登録業務範囲の拡大を伴う変更登録には所定の手数料がかかります。",2,,,変更登録,true
law-b-0010,binary,law,弁済業務保証金,旅行業協会に加入している旅行業者（保証社員）は、営業保証金の供託に代えて弁済業務保証金分担金を納付する。,true,"旅行業法第49条に基づき、保証社員は弁済業務保証金分担金の納付により営業保証金の供託が免除されます。",2,,,弁済業務,true
law-b-0011,binary,law,広告規制,旅行業者は、募集型企画旅行の広告において、旅行業務取扱管理者の氏名を表示する義務はない。,true,"広告に氏名表示義務はありませんが、企画者名や料金、取消料等の表示義務はあります。",2,,,広告,true
law-b-0012,binary,law,受注型企画旅行,受注型企画旅行は、旅行者からの依頼により、旅行業者があらかじめ旅行計画を作成し、これを旅行者に提示して実施するものである。,true,"旅行業法第2条の定義のとおり、受注型企画旅行は依頼に基づく企画旅行です。",2,,,受注型,true
law-b-0013,binary,law,手配旅行,手配旅行契約において、旅行業者は旅行サービスの提供自体を保証する責任を負う。,false,"手配旅行では、旅行業者は手配の完成を目的とし、サービス提供そのものを保証するわけではありません。",2,,,手配旅行,true
law-b-0014,binary,law,旅程管理,旅程管理業務を行う者は、旅行の安全かつ円滑な実施を確保するため、出発前に旅行者への必要な説明等を行わなければならない。,true,"旅程管理業務の具体的内容として、出発前の必要事項の説明が定められています。",1,,,旅程管理,true
law-b-0015,binary,law,登録拒否事由,旅行業登録を受けようとする者が破産者であって復権を得ない場合は、登録を拒否される。,true,"旅行業法第6条の登録拒否事由に該当します。",2,,,登録拒否,true
law-b-0016,binary,law,外務員,外務員は、営業所以外で旅行業務を行う者をいい、外務員証を携帯しなければならない。,true,"旅行業法第12条の6により、外務員証の携帯・呈示義務があります。",2,,,外務員,true
law-b-0017,binary,law,取引条件説明書面,電磁的方法による取引条件説明書面の提供は、旅行者の承諾がなくても旅行業者の判断で行うことができる。,false,"電磁的方法による提供は、旅行者の同意が必要です。",2,,,書面|電磁的,true
law-b-0018,binary,law,旅行業協会,旅行業協会は、旅行者と旅行業者との間で生じた取引に関する苦情の解決を図る業務を行う。,true,"旅行業法第41条により、旅行業協会の業務の一つとして苦情解決が定められています。",1,,,旅行業協会,true
law-b-0019,binary,law,旅程保証,旅程保証は、手配旅行契約にも適用される。,false,"旅程保証は募集型企画旅行契約および受注型企画旅行契約のみに適用されます。",3,,,旅程保証,true
law-b-0020,binary,law,企画書面,旅行業者は、受注型企画旅行契約に係る企画書面を作成した際、所定の費用を旅行者から収受することができる。,true,"企画書面の作成に対して企画料金を収受できます。",2,,,企画書面,true
