id,type,subject,topic,question,correctAnswer,explanation,difficulty,sourceYear,sourceLabel,tags,isActive
terms-b-0001,binary,terms,募集型企画旅行契約,募集型企画旅行契約において、契約締結後に旅行者が契約を解除する場合、いかなる場合も取消料は発生しない。,false,"旅行開始日から起算して定められた日数内に解除する場合、区分ごとに定められた取消料が発生します。",1,,,取消料,true
terms-b-0002,binary,terms,特別補償,特別補償規程に基づく見舞金の支払は、旅行業者の故意または過失の有無にかかわらず行われる。,true,"特別補償は旅行業者の責任の有無を問わず、一定の事故に対して支払われる制度です。",2,,,特別補償,true
terms-b-0003,binary,terms,旅程保証,旅程保証は、旅行業者の責に帰すべき事由の有無にかかわらず、契約内容の重要な変更が生じた場合に変更補償金を支払うものである。,true,"旅程保証は無過失責任的に、重要な変更に対して所定の変更補償金を支払います。",2,,,旅程保証,true
terms-b-0004,binary,terms,受注型企画旅行契約,受注型企画旅行契約の締結にあたっては、企画料金を契約書面に明示しなければならない。,true,"企画料金は契約書面への記載事項です。",2,,,受注型|企画料金,true
terms-b-0005,binary,terms,取消料,貸切バスによる国内旅行の取消料率は、募集型企画旅行と受注型企画旅行で異なる。,true,"貸切輸送に係る取消料率は契約類型ごとに定められており、両者は異なります。",3,,,取消料|貸切,true
terms-b-0006,binary,terms,取消料,旅行開始日の前日に旅行者の都合で募集型企画旅行契約を解除する場合、旅行代金の40%以内の取消料を請求できる。,true,"前日の取消は40%が上限です（日帰り旅行は別規定あり）。",1,,,取消料,true
terms-b-0007,binary,terms,旅行開始後の解除,旅行者の責に帰すべき事由により旅行開始後に契約を解除する場合、旅行業者は未提供部分の料金を払い戻さない。,false,"既提供部分の料金は請求できますが、未提供部分の料金から解除手続費用等を除いた金額は払い戻します。",2,,,解除,true
terms-b-0008,binary,terms,宿泊約款,宿泊約款において、宿泊施設側は正当な理由があれば宿泊契約の締結を拒むことができる。,true,"モデル宿泊約款第5条に定める契約締結拒否事由があります。",1,,,宿泊約款,true
terms-b-0009,binary,terms,旅程管理,旅程管理業務を行う者は、旅行中に旅行者に対して契約内容を変更するための措置を迅速に講じなければならない。,true,"変更措置は旅程管理業務の中心的内容の一つです。",2,,,旅程管理,true
terms-b-0010,binary,terms,手配旅行契約,手配旅行契約において、旅行業者の手配が完了したときは、旅行サービスが提供されなくても旅行業者の義務は履行されたものとする。,true,"手配完成債務として、手配完了で旅行業者の義務は履行されたと扱われます。",2,,,手配旅行,true
terms-b-0011,binary,terms,旅行業者の責任,旅行業者は、旅程保証の対象となる変更であっても、旅行者の損害を賠償する責任を負うことがある。,true,"旅行業者に故意・過失がある場合は損害賠償責任を負います。",3,,,損害賠償,true
terms-b-0012,binary,terms,募集型企画旅行契約,旅行業者は、契約締結前に旅行者に対し、契約内容及び取引条件について説明した書面を交付しなければならない。,true,"契約締結前の取引条件説明書面の交付義務があります。",1,,,書面,true
terms-b-0013,binary,terms,旅行代金,旅行代金は、契約書面に定められた期日までに旅行者が支払わなければ、旅行業者は契約を解除することができる。,true,"旅行代金の不払いは旅行業者による契約解除事由となります。",2,,,旅行代金,true
terms-b-0014,binary,terms,取消料,旅行開始日の30日前までに旅行者の都合で解除する場合、取消料は発生しない。,false,"募集型企画旅行では、日帰り11日前／泊付き21日前からの解除で取消料が発生します（2024年改定運用）。",2,,,取消料,true
terms-b-0015,binary,terms,特別補償,"特別補償に基づく死亡補償金は、国内旅行で1,500万円と定められている。",true,"国内旅行における死亡補償金は1,500万円です。",2,,,特別補償|補償金,true
terms-b-0016,binary,terms,旅程保証,列車やバス等の等級・設備が契約内容より低いものに変更された場合、変更補償金の支払対象となる。,true,"契約内容を構成する重要な項目の変更として、変更補償金の対象です。",3,,,旅程保証,true
terms-b-0017,binary,terms,手配旅行契約,手配旅行契約において、旅行業者は所定の旅行業務取扱料金を収受できる。,true,"手配旅行には取扱料金が定められており、旅行者から収受できます。",1,,,手配旅行,true
terms-b-0018,binary,terms,契約書面,契約書面の交付を電磁的方法で行う場合、旅行者の承諾を得る必要がある。,true,"電磁的方法による交付は承諾を要します。",2,,,契約書面,true
terms-b-0019,binary,terms,契約解除,天災地変等により旅行の安全かつ円滑な実施が不可能となった場合、旅行業者は旅行開始後であっても契約を解除することができる。,true,"約款上、やむを得ない事由による解除が認められています。",2,,,解除,true
terms-b-0020,binary,terms,取消料,旅行開始日の前々日に旅行者の都合で解除する場合、取消料は旅行代金の30%を上限とする。,false,"前々日の取消料は20%が上限です（前日40%、当日50%、開始後100%）。",2,,,取消料,true
