id,type,subject,topic,question,correctAnswer,explanation,difficulty,sourceYear,sourceLabel,tags,isActive
practice-b-0001,binary,practice,JR運賃,JRの普通運賃は、営業キロに応じて定められた賃率により計算される。,true,"JR各社の普通運賃は営業キロに基づいた賃率表により算出します。",1,,,JR|運賃,true
practice-b-0002,binary,practice,JR乗車券,乗車券の有効期間は、片道100kmを超える場合、100kmまでごとに1日が加算される。,true,"JR乗車券の有効期間ルールのとおりです（片道）。",2,,,JR|乗車券,true
practice-b-0003,binary,practice,JR特急料金,のぞみ号の特急料金は、のぞみ以外の新幹線特急料金に、のぞみ号特定特急料金を加算した額である。,true,"のぞみは速達性に応じた特定の加算額が設定されています。",2,,,JR|新幹線,true
practice-b-0004,binary,practice,JR学生割引,学生割引は、片道営業キロが100kmを超える場合に、普通運賃の2割引となる。,true,"学生割引は片道101km以上で普通運賃2割引です。",1,,,JR|学割,true
practice-b-0005,binary,practice,JR往復割引,往復割引は、片道の営業キロが600kmを超える区間で、往復運賃がそれぞれ1割引となる。,true,"片道601km以上で往復運賃1割引が適用されます。",2,,,JR|往復,true
practice-b-0006,binary,practice,観光資源（東北）,白神山地は世界自然遺産に登録されている青森県と秋田県にまたがるブナ原生林地域である。,true,"1993年に屋久島とともに日本初の世界自然遺産として登録されました。",1,,,世界遺産|東北,true
practice-b-0007,binary,practice,観光資源（関東）,草津温泉は群馬県にあり、自然湧出量が日本有数の規模を誇る温泉地である。,true,"草津温泉は群馬県吾妻郡草津町にあり、湧出量は日本随一です。",1,,,温泉|群馬,true
practice-b-0008,binary,practice,観光資源（中部）,上高地は長野県松本市の槍ヶ岳・穂高岳を望む山岳景勝地で、中部山岳国立公園の一部である。,true,"上高地は中部山岳国立公園に含まれる国の特別名勝・特別天然記念物です。",1,,,国立公園|長野,true
practice-b-0009,binary,practice,観光資源（近畿）,伊勢神宮の正宮は、内宮（皇大神宮）と外宮（豊受大神宮）の二つからなる。,true,"伊勢神宮は内宮・外宮の両正宮を中心に125社で構成されます。",1,,,神社|三重,true
practice-b-0010,binary,practice,観光資源（中国四国）,厳島神社は広島県廿日市市にあり、海上に建つ朱塗りの大鳥居で知られる世界文化遺産である。,true,"1996年に世界文化遺産に登録されました。",1,,,世界遺産|広島,true
practice-b-0011,binary,practice,観光資源（九州沖縄）,阿蘇山は長崎県に位置する世界最大級のカルデラを持つ活火山である。,false,"阿蘇山は熊本県にあります。",2,,,火山|九州,true
practice-b-0012,binary,practice,JR運賃,大人の運賃を1として、小児（6歳以上12歳未満）の運賃は0.5（半額）で計算する。,true,"JRの小児運賃は大人の半額で、10円未満の端数は切り捨てます。",1,,,JR|小児,true
practice-b-0013,binary,practice,JR乗車券,連続乗車券は、片道乗車券を発売できない区間が含まれる場合に発売する。,true,"一筆書き不可の経路のため、2枚組の連続乗車券で発売されます。",3,,,JR|連続,true
practice-b-0014,binary,practice,宿泊,旅館業法における旅館・ホテル営業は、施設ごとに都道府県知事等の許可が必要である。,true,"旅館業法第3条により、営業にあたり都道府県知事等の許可が必要です。",2,,,旅館業法,true
practice-b-0015,binary,practice,国内観光地理,松島（宮城県）、天橋立（京都府）、宮島（広島県）は日本三景と呼ばれる。,true,"日本三景は松島・天橋立・宮島の3ヶ所です。",1,,,三景,true
practice-b-0016,binary,practice,JR特急料金,指定席特急料金に対して、自由席特急料金は通常530円引きである。,true,"自由席は指定席より通常530円安い料金設定です（2024年時点の基準）。",2,,,JR|自由席,true
practice-b-0017,binary,practice,観光資源（北海道）,知床半島は、北海道の東部に位置し、ヒグマやエゾシカの生息地として知られる世界自然遺産である。,true,"2005年に世界自然遺産に登録されました。",1,,,世界遺産|北海道,true
practice-b-0018,binary,practice,JR乗車券,大都市近郊区間内相互発着の乗車券は、どの経路で乗車しても最短経路の運賃で発売される。,true,"大都市近郊区間内は経路選択乗車が可能です。",2,,,JR|近郊,true
practice-b-0019,binary,practice,観光資源（関東）,日光の社寺（栃木県）は、世界文化遺産として東照宮・二荒山神社・輪王寺の建造物が登録されている。,true,"1999年に世界文化遺産に登録されました。",1,,,世界遺産|栃木,true
practice-b-0020,binary,practice,JR運賃,幹線と地方交通線をまたがって乗車する場合、運賃は換算キロ（または擬制キロ）を用いて幹線の賃率で計算する。,true,"地方交通線の営業キロを換算キロに直し、幹線賃率で算出する方式です。",3,,,JR|賃率,true
