id,type,subject,topic,question,choice1,choice2,choice3,choice4,correctAnswer,explanation,difficulty,sourceYear,sourceLabel,tags,isActive
law-q-0001,quad,law,営業保証金,第1種旅行業者の営業保証金の基準額として、旅行業法施行規則で定められている額は次のうちどれか。,"1,100万円","3,000万円","5,000万円","7,000万円",4,"第1種の基準額は7,000万円。前事業年度の年間取扱額により加算されます。",2,,,保証金,true
law-q-0002,quad,law,旅程管理主任者,旅程管理主任者の資格を得るための要件として誤っているものは次のうちどれか。,観光庁長官の登録を受けた研修の修了,旅程管理業務に関する実務経験の実施,観光庁長官が認定する資格試験の合格,旅行業務取扱管理者の資格の保有,4,"旅行業務取扱管理者資格は旅程管理主任者の要件ではありません。必要なのは研修修了と実務経験です。",3,,,旅程管理,true
law-q-0003,quad,law,登録拒否事由,旅行業登録の拒否事由に該当しないものは次のうちどれか。,成年被後見人または被保佐人,破産手続開始の決定を受けて復権を得ない者,旅行業法違反で登録取消後5年を経過しない者,旅行業務取扱管理者の資格を有しない者,4,"取扱管理者の資格未保有自体は登録拒否事由ではありません（営業所ごとの選任義務とは別論点）。",3,,,登録拒否,true
law-q-0004,quad,law,取引条件説明書面,取引条件説明書面の記載事項として、誤っているものは次のうちどれか。,企画者の氏名または名称,旅行代金およびその支払時期,取消料に関する事項,旅程管理主任者の氏名,4,"旅程管理主任者氏名は取引条件説明書面の記載事項ではありません。",2,,,書面|記載事項,true
law-q-0005,quad,law,外務員,旅行業法における外務員について正しいものは次のうちどれか。,外務員は営業所内においてのみ旅行業務を行う,外務員証の携帯は不要である,外務員の行為は所属する旅行業者の行為とみなされる,外務員は旅行業務取扱管理者の指示を受ける必要がない,3,"外務員の行為は所属旅行業者の行為とみなされるのが原則です。",2,,,外務員,true
law-q-0006,quad,law,企画旅行,次のうち、旅行業法上の「募集型企画旅行」の定義に最も合致するものはどれか。,旅行者の依頼により旅行計画を作成し実施する旅行,旅行業者があらかじめ旅行計画を作成し参加者を募集して実施する旅行,旅行者の依頼に基づき運送・宿泊の手配のみを行う旅行,旅行業者が他の旅行業者に取次ぐ旅行,2,"募集型企画旅行は、旅行業者が企画し参加者を広く募集して実施する旅行です。",1,,,募集型,true
law-q-0007,quad,law,旅行業協会,旅行業協会の業務として規定されていないものは次のうちどれか。,苦情の解決に関する業務,弁済業務保証金の供託および弁済業務,旅行業務取扱管理者試験の実施,旅行業務に関する研修,3,"取扱管理者試験の実施は観光庁長官が指定する試験機関が担当します。協会の業務ではありません。",3,,,旅行業協会,true
law-q-0008,quad,law,登録業務範囲,地域限定旅行業者が実施できる業務として正しいものは次のうちどれか。,営業所の所在する市町村および隣接する市町村等の拠点区域内で完結する募集型企画旅行,全国を目的地とする募集型企画旅行,海外を目的地とする募集型企画旅行,拠点区域外での手配旅行,1,"地域限定は拠点区域内で完結する企画旅行等に限定されます。",2,,,地域限定,true
law-q-0009,quad,law,営業保証金,営業保証金の還付を請求できる者について正しいものは次のうちどれか。,旅行者と旅行業者との間の旅行業務に関する取引で生じた債権の債権者,旅行業者の従業員の給与債権者,旅行業者と取引のある運送業者の一般債権者,旅行業者の税金滞納に係る国税債権者,1,"旅行業務に関する取引で生じた債権者に限り還付を受けられます。",2,,,保証金|還付,true
law-q-0010,quad,law,取扱管理者,旅行業務取扱管理者の職務として誤っているものは次のうちどれか。,取引条件の説明に関する事項,契約書面等に関する事項,苦情の処理に関する事項,営業保証金の供託に関する事項,4,"営業保証金の供託は旅行業者の義務であり、取扱管理者の職務として法定されていません。",2,,,取扱管理者,true
