id,type,subject,topic,question,choice1,choice2,choice3,choice4,correctAnswer,explanation,difficulty,sourceYear,sourceLabel,tags,isActive
practice-q-0001,quad,practice,JR運賃,JRの普通乗車券について、小児運賃の計算方法として正しいものはどれか。,大人運賃を1として0.5を乗じ、10円未満を切り上げる,大人運賃を1として0.5を乗じ、10円未満を切り捨てる,大人運賃を1として0.5を乗じ、端数はそのまま表示する,大人運賃を1として0.6を乗じ、10円未満を切り捨てる,2,"小児運賃は大人運賃の半額（×0.5）で10円未満切り捨てが原則です。",2,,,JR|小児,true
practice-q-0002,quad,practice,JR乗車券,片道営業キロが400kmの乗車券の有効期間は、次のうちどれか。,2日,3日,4日,5日,2,"101km〜200kmで2日、それを超えると100kmごとに1日加算。400kmなら3日。",2,,,JR|有効期間,true
practice-q-0003,quad,practice,JR特急料金,東海道新幹線「のぞみ」の特急料金は、同一区間の「ひかり・こだま」の料金に加算される金額を何というか。,のぞみ号加算料金,のぞみ特定特急料金,のぞみ号特定特急料金,特別車両料金,3,"「のぞみ号特定特急料金」として加算されます。",3,,,JR|新幹線,true
practice-q-0004,quad,practice,JR学割,JRの学生割引について正しいものはどれか。,片道50km以上で1割引,片道100kmを超える場合に2割引,片道200km以上で3割引,片道300km以上で5割引,2,"学割は101km以上の普通運賃について2割引です。",1,,,JR|学割,true
practice-q-0005,quad,practice,観光資源,次のうち、世界文化遺産に登録されている日本の物件はどれか。,屋久島,白神山地,厳島神社,知床,3,"屋久島・白神山地・知床は世界自然遺産。厳島神社は世界文化遺産です。",2,,,世界遺産,true
practice-q-0006,quad,practice,観光資源,次の温泉地と所在県の組合せのうち、正しいものはどれか。,有馬温泉 — 和歌山県,道後温泉 — 高知県,草津温泉 — 群馬県,別府温泉 — 熊本県,3,"有馬は兵庫県、道後は愛媛県、別府は大分県。草津は群馬県。",2,,,温泉,true
practice-q-0007,quad,practice,観光資源,次のうち、国立公園に指定されていないものはどれか。,日光国立公園,富士箱根伊豆国立公園,松島国立公園,阿蘇くじゅう国立公園,3,"松島は「松島県立自然公園」ですが、国立公園ではありません。",3,,,国立公園,true
practice-q-0008,quad,practice,観光資源,次の郷土料理と都道府県の組合せのうち、誤っているものはどれか。,いちご煮 — 青森県,きりたんぽ — 秋田県,ほうとう — 長野県,ちゃんぽん — 長崎県,3,"ほうとうは山梨県の郷土料理です。",2,,,郷土料理,true
practice-q-0009,quad,practice,観光資源,次の祭りと開催地の組合せのうち、正しいものはどれか。,ねぶた祭 — 青森県青森市,竿燈まつり — 山形県山形市,七夕まつり — 宮城県仙台市でのみ全国的知名度,よさこい祭り — 愛媛県松山市,1,"竿燈は秋田市、七夕も仙台市で正しいが「のみ」は言い過ぎ、よさこいは高知市。ねぶたは青森市が正解。",2,,,祭り,true
practice-q-0010,quad,practice,JR運賃,JRの往復割引乗車券の適用条件として正しいものはどれか。,片道400km以上,片道500kmを超える,片道600kmを超える,片道1000km以上,3,"片道601km以上の区間で往復運賃それぞれ1割引になります。",2,,,JR|往復,true
