id,type,subject,topic,question,choice1,choice2,choice3,choice4,correctAnswer,explanation,difficulty,sourceYear,sourceLabel,tags,isActive
terms-q-0001,quad,terms,取消料,旅行開始日が9月20日の宿泊付き国内募集型企画旅行について、9月10日に旅行者の都合で解除した場合の取消料率として正しいものはどれか。,取消料はかからない,旅行代金の20%以内,旅行代金の30%以内,旅行代金の40%以内,2,"宿泊付きは21日前〜8日前で20%以内。9月20日の10日前（9月10日）は20%です。",2,,,取消料,true
terms-q-0002,quad,terms,特別補償,特別補償規程における補償金のうち、国内旅行の入院見舞金の支給対象となるのはどれか。,入院日数1日以上,入院日数3日以上,入院日数7日以上,入院日数14日以上,2,"入院見舞金は入院日数3日以上が対象（国内旅行）。",3,,,特別補償,true
terms-q-0003,quad,terms,旅程保証,変更補償金の支払対象となる契約内容の重要な変更に該当するものはどれか。,ホテルの室タイプの変更（等級は同等）,運送機関の等級・設備の低下,目的地での食事の献立変更,旅行案内人の変更,2,"運送機関の等級・設備の低下は旅程保証の対象です。",2,,,旅程保証,true
terms-q-0004,quad,terms,受注型企画旅行,受注型企画旅行契約の企画料金について正しいものはどれか。,旅行代金に含まれるため別途明示する必要はない,取引条件説明書面にのみ記載すればよい,企画書面に明示し、旅行者から収受できる,企画書面への記載は任意であり収受はできない,3,"企画書面に企画料金を明示し、これを旅行者から収受することが認められます。",2,,,受注型,true
terms-q-0005,quad,terms,旅行開始後の解除,旅行開始後に旅行者の都合で契約を一部解除した場合の取り扱いとして、正しいものはどれか。,未提供部分の料金は全額返金される,解除手続費用等を差し引いた額が払い戻される,一切返金されない,旅行者の書面請求があれば全額返金される,2,"既提供分は請求可、未提供分は解除手続費用等を差し引いて払い戻します。",2,,,解除,true
terms-q-0006,quad,terms,宿泊約款,モデル宿泊約款において、宿泊施設が契約締結を拒むことができる事由に該当しないものはどれか。,申込が宿泊約款によらない場合,施設に余裕がない場合,宿泊客が公序良俗に反する行為をするおそれがあるとき,宿泊客が宿泊施設から遠方に住んでいる場合,4,"居住地の遠近は契約締結拒否事由ではありません。",2,,,宿泊約款,true
terms-q-0007,quad,terms,取消料,日帰り国内募集型企画旅行について、旅行開始日の前日に旅行者の都合で解除した場合の取消料率として正しいものはどれか。,旅行代金の20%以内,旅行代金の30%以内,旅行代金の40%以内,旅行代金の50%以内,3,"日帰り前日の取消料は40%以内が上限です。",2,,,取消料|日帰り,true
terms-q-0008,quad,terms,特別補償,特別補償における国内旅行の死亡補償金として正しい金額は次のうちどれか。,500万円,"1,000万円","1,500万円","2,500万円",3,"国内旅行における死亡補償金は1,500万円です。",2,,,特別補償|補償金,true
terms-q-0009,quad,terms,旅程保証,旅程保証における変更補償金の支払は、旅行代金に対して定められた率によって算定される。次のうち、旅程保証の対象外となるのはどれか。,宿泊機関の種類または名称の変更,運送機関の種類または会社名の変更,旅行中の観光地における食事メニューの変更,旅行日程の変更（旅行開始日または終了日の変更）,3,"食事メニューの変更は旅程保証の対象ではありません。",3,,,旅程保証,true
terms-q-0010,quad,terms,旅行代金,旅行代金の変更について正しいものはどれか。,旅行業者の判断でいつでも変更できる,運送機関の運賃・料金の改定等により、契約書面で定めた場合に限り変更できる,契約締結後は一切変更できない,旅行者の同意があれば無条件で変更できる,2,"運賃料金の改定等の特定事由かつ契約書面の記載がある場合に限り、代金の変更が可能です。",2,,,旅行代金,true
